Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","250","France","5510","Production","01371","Almonds, in shell","2024","2024","t","2180","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01341","Apples","2024","2024","t","1964030","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01343","Apricots","2024","2024","t","82760","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01216","Artichokes","2024","2024","t","21550","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01211","Asparagus","2024","2024","t","27570","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01311","Avocados","2024","2024","t","1480","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01312","Bananas","2024","2024","t","210920","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0115","Barley","2024","2024","t","9669250","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01355.01","Blueberries","2024","2024","t","8621","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01702","Broad beans and horse beans, dry","2024","2024","t","216350","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01243","Broad beans and horse beans, green","2024","2024","t","41180","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01212","Cabbages","2024","2024","t","188630","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01229","Cantaloupes and other melons","2024","2024","t","322410","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01251","Carrots and turnips","2024","2024","t","662380","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01213","Cauliflowers and broccoli","2024","2024","t","203960","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01199.90","Cereals n.e.c.","2024","2024","t","297400","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01344.02","Cherries","2024","2024","t","28350","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01373","Chestnuts, in shell","2024","2024","t","8950","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2024","2024","t","20740","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01232","Cucumbers and gherkins","2024","2024","t","178940","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01351.01","Currants","2024","2024","t","10650","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01233","Eggplants (aubergines)","2024","2024","t","42830","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01315","Figs","2024","2024","t","7450","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01929.01","Flax, raw or retted","2024","2024","t","1059080","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01330","Grapes","2024","2024","t","4747450","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01290.01","Green corn (maize)","2024","2024","t","459300","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01252","Green garlic","2024","2024","t","28770","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01374","Hazelnuts, in shell","2024","2024","t","8450","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01659","Hop cones","2024","2024","t","670","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01352","Kiwi fruit","2024","2024","t","50760","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01254","Leeks and other alliaceous vegetables","2024","2024","t","159100","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01322","Lemons and limes","2024","2024","t","14330","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01214","Lettuce and chicory","2024","2024","t","433890","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01441","Linseed","2024","2024","t","39620","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01709.02","Lupins","2024","2024","t","10070","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0112","Maize (corn)","2024","2024","t","14670620","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01199.02","Mixed grain","2024","2024","t","291320","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01270","Mushrooms and truffles","2024","2024","t","99970","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0117","Oats","2024","2024","t","302700","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01450","Olives","2024","2024","t","28200","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2024","2024","t","778580","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01323","Oranges","2024","2024","t","8060","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01241.90","Other beans, green","2024","2024","t","317960","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01449.90","Other oil seeds, n.e.c.","2024","2024","t","27260","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01709.90","Other pulses n.e.c.","2024","2024","t","128630","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01319","Other tropical fruits, n.e.c.","2024","2024","t","38820","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01290.90","Other vegetables, fresh n.e.c.","2024","2024","t","409620","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01345","Peaches and nectarines","2024","2024","t","236720","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01342.01","Pears","2024","2024","t","151870","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01705","Peas, dry","2024","2024","t","486710","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01242","Peas, green","2024","2024","t","260130","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01346","Plums and sloes","2024","2024","t","170510","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01321","Pomelos and grapefruits","2024","2024","t","9040","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01510","Potatoes","2024","2024","t","9237460","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01235","Pumpkins, squash and gourds","2024","2024","t","379910","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01443","Rape or colza seed","2024","2024","t","3941140","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01353.01","Raspberries","2024","2024","t","7480","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","2024","2024","t","71960","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0116","Rye","2024","2024","t","108350","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0114","Sorghum","2024","2024","t","447110","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01344.01","Sour cherries","2024","2024","t","2640","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0141","Soya beans","2024","2024","t","398540","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01215","Spinach","2024","2024","t","81560","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01354","Strawberries","2024","2024","t","76210","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01801","Sugar beet","2024","2024","t","32594090","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01445","Sunflower seed","2024","2024","t","1479770","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01324","Tangerines, mandarins, clementines","2024","2024","t","53170","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01234","Tomatoes","2024","2024","t","692430","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01191","Triticale","2024","2024","t","1087820","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01929.02","True hemp, raw or retted","2024","2024","t","135530","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01970","Unmanufactured tobacco","2024","2024","t","2650","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01376","Walnuts, in shell","2024","2024","t","27710","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01221","Watermelons","2024","2024","t","22870","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0111","Wheat","2024","2024","t","26606940","A","Official figure",""
