Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","276","Germany","5510","Production","01341","Apples","2024","2024","t","871990","A","Official figure",""
"QCL","Crops and livestock products","276","Germany","5510","Production","01211","Asparagus","2024","2024","t","108130","A","Official figure",""
"QCL","Crops and livestock products","276","Germany","5510","Production","01311","Avocados","2024","2024","t","0","A","Official figure",""
"QCL","Crops and livestock products","276","Germany","5510","Production","01312","Bananas","2024","2024","t","0","A","Official figure",""
"QCL","Crops and livestock products","276","Germany","5510","Production","0115","Barley","2024","2024","t","10610000","A","Official figure",""
"QCL","Crops and livestock products","276","Germany","5510","Production","01355.01","Blueberries","2024","2024","t","15090","A","Official figure",""
"QCL","Crops and livestock products","276","Germany","5510","Production","01702","Broad beans and horse beans, dry","2024","2024","t","244100","A","Official figure",""
"QCL","Crops and livestock products","276","Germany","5510","Production","01243","Broad beans and horse beans, green","2024","2024","t","1570","A","Official figure",""
"QCL","Crops and livestock products","276","Germany","5510","Production","01212","Cabbages","2024","2024","t","698840","A","Official figure",""
"QCL","Crops and livestock products","276","Germany","5510","Production","01251","Carrots and turnips","2024","2024","t","850580","A","Official figure",""
"QCL","Crops and livestock products","276","Germany","5510","Production","01213","Cauliflowers and broccoli","2024","2024","t","133190","A","Official figure",""
"QCL","Crops and livestock products","276","Germany","5510","Production","01344.02","Cherries","2024","2024","t","27890","A","Official figure",""
"QCL","Crops and livestock products","276","Germany","5510","Production","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2024","2024","t","16480","A","Official figure",""
"QCL","Crops and livestock products","276","Germany","5510","Production","01232","Cucumbers and gherkins","2024","2024","t","284890","A","Official figure",""
"QCL","Crops and livestock products","276","Germany","5510","Production","01351.01","Currants","2024","2024","t","9620","A","Official figure",""
"QCL","Crops and livestock products","276","Germany","5510","Production","01315","Figs","2024","2024","t","0","A","Official figure",""
"QCL","Crops and livestock products","276","Germany","5510","Production","01330","Grapes","2024","2024","t","1059770","A","Official figure",""
"QCL","Crops and livestock products","276","Germany","5510","Production","01659","Hop cones","2024","2024","t","46500","A","Official figure",""
"QCL","Crops and livestock products","276","Germany","5510","Production","01352","Kiwi fruit","2024","2024","t","0","A","Official figure",""
"QCL","Crops and livestock products","276","Germany","5510","Production","01254","Leeks and other alliaceous vegetables","2024","2024","t","89600","A","Official figure",""
"QCL","Crops and livestock products","276","Germany","5510","Production","01322","Lemons and limes","2024","2024","t","0","A","Official figure",""
"QCL","Crops and livestock products","276","Germany","5510","Production","01214","Lettuce and chicory","2024","2024","t","222350","A","Official figure",""
"QCL","Crops and livestock products","276","Germany","5510","Production","01709.02","Lupins","2024","2024","t","57200","A","Official figure",""
"QCL","Crops and livestock products","276","Germany","5510","Production","0112","Maize (corn)","2024","2024","t","5010500","A","Official figure",""
"QCL","Crops and livestock products","276","Germany","5510","Production","01199.02","Mixed grain","2024","2024","t","36200","A","Official figure",""
"QCL","Crops and livestock products","276","Germany","5510","Production","01270","Mushrooms and truffles","2024","2024","t","77650","A","Official figure",""
"QCL","Crops and livestock products","276","Germany","5510","Production","0117","Oats","2024","2024","t","696800","A","Official figure",""
"QCL","Crops and livestock products","276","Germany","5510","Production","01450","Olives","2024","2024","t","0","A","Official figure",""
