Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","380","Italy","5510","Production","01371","Almonds, in shell","2024","2024","t","74960","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5510","Production","01341","Apples","2024","2024","t","2398540","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5510","Production","01343","Apricots","2024","2024","t","240080","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5510","Production","01216","Artichokes","2024","2024","t","373960","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5510","Production","01211","Asparagus","2024","2024","t","60100","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5510","Production","01311","Avocados","2024","2024","t","0","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5510","Production","01312","Bananas","2024","2024","t","0","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5510","Production","0115","Barley","2024","2024","t","918580","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5510","Production","01355.01","Blueberries","2024","2024","t","10360","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5510","Production","01702","Broad beans and horse beans, dry","2024","2024","t","114370","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5510","Production","01243","Broad beans and horse beans, green","2024","2024","t","37510","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5510","Production","01212","Cabbages","2024","2024","t","412680","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5510","Production","01229","Cantaloupes and other melons","2024","2024","t","771640","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5510","Production","01251","Carrots and turnips","2024","2024","t","510840","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5510","Production","01213","Cauliflowers and broccoli","2024","2024","t","366800","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5510","Production","01199.90","Cereals n.e.c.","2024","2024","t","67070","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5510","Production","01344.02","Cherries","2024","2024","t","80670","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5510","Production","01373","Chestnuts, in shell","2024","2024","t","64330","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5510","Production","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2024","2024","t","234830","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5510","Production","01232","Cucumbers and gherkins","2024","2024","t","96290","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5510","Production","01351.01","Currants","2024","2024","t","1120","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5510","Production","01233","Eggplants (aubergines)","2024","2024","t","413080","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5510","Production","01315","Figs","2024","2024","t","12870","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5510","Production","01929.01","Flax, raw or retted","2024","2024","t","1450","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5510","Production","01330","Grapes","2024","2024","t","7637640","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5510","Production","01252","Green garlic","2024","2024","t","26320","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5510","Production","01374","Hazelnuts, in shell","2024","2024","t","120520","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5510","Production","01659","Hop cones","2024","2024","t","120","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5510","Production","01352","Kiwi fruit","2024","2024","t","463910","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5510","Production","01254","Leeks and other alliaceous vegetables","2024","2024","t","14160","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5510","Production","01322","Lemons and limes","2024","2024","t","431590","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5510","Production","01214","Lettuce and chicory","2024","2024","t","688680","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5510","Production","01441","Linseed","2024","2024","t","0","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5510","Production","01709.02","Lupins","2024","2024","t","1740","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5510","Production","0112","Maize (corn)","2024","2024","t","4940530","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5510","Production","01199.02","Mixed grain","2024","2024","t","180","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5510","Production","01270","Mushrooms and truffles","2024","2024","t","60550","A","Official figure",""
