Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","724","Spain","5510","Production","01371","Almonds, in shell","2024","2024","t","369700","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5510","Production","01341","Apples","2024","2024","t","545080","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5510","Production","01343","Apricots","2024","2024","t","155570","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5510","Production","01216","Artichokes","2024","2024","t","174620","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5510","Production","01211","Asparagus","2024","2024","t","56490","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5510","Production","01311","Avocados","2024","2024","t","112360","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5510","Production","01312","Bananas","2024","2024","t","421320","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5510","Production","0115","Barley","2024","2024","t","7440970","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5510","Production","01355.01","Blueberries","2024","2024","t","60950","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5510","Production","01702","Broad beans and horse beans, dry","2024","2024","t","51740","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5510","Production","01243","Broad beans and horse beans, green","2024","2024","t","28940","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5510","Production","01212","Cabbages","2024","2024","t","276150","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5510","Production","01229","Cantaloupes and other melons","2024","2024","t","594010","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5510","Production","01251","Carrots and turnips","2024","2024","t","393740","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5510","Production","01213","Cauliflowers and broccoli","2024","2024","t","671380","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5510","Production","01199.90","Cereals n.e.c.","2024","2024","t","11340","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5510","Production","01344.02","Cherries","2024","2024","t","121060","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5510","Production","01373","Chestnuts, in shell","2024","2024","t","181810","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5510","Production","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2024","2024","t","1518610","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5510","Production","01232","Cucumbers and gherkins","2024","2024","t","757790","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5510","Production","01351.01","Currants","2024","2024","t","30","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5510","Production","01233","Eggplants (aubergines)","2024","2024","t","297660","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5510","Production","01315","Figs","2024","2024","t","55420","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5510","Production","01929.01","Flax, raw or retted","2024","2024","t","70","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5510","Production","01330","Grapes","2024","2024","t","5387270","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5510","Production","01252","Green garlic","2024","2024","t","245700","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5510","Production","01374","Hazelnuts, in shell","2024","2024","t","3020","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5510","Production","01659","Hop cones","2024","2024","t","1110","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5510","Production","01352","Kiwi fruit","2024","2024","t","29640","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5510","Production","01254","Leeks and other alliaceous vegetables","2024","2024","t","66320","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5510","Production","01322","Lemons and limes","2024","2024","t","919510","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5510","Production","01214","Lettuce and chicory","2024","2024","t","916400","A","Official figure",""
